"variable","50","55","60","65","70","75","80"
"female","56.2","56.0","55.9","56.9","58.5","59.3","61.3"
"race_white","80.3","81.4","82.5","81.8","83.0","84.3","84.9"
"race_black","9.6","9.1","8.4","9.0","8.6","8.4","8.0"
"race_hispanic","4.8","4.6","4.7","5.3","5.4","4.4","3.6"
"race_other","5.4","4.9","4.4","3.9","3.1","2.9","3.5"
"cohort_group_1930","17.2","27.3","34.8","50.6","83.6","100.0","100.0"
"cohort_group_1940","52.0","53.1","58.1","49.4","16.4","0","0"
"cohort_group_1950","30.9","19.6","7.1","0","0","0","0"
"original_baseline_cog","17.1","17.0","17.1","17.2","17.4","17.4","17.3"
"edu_cat_less_highschool","12.3","13.4","14.8","16.9","18.7","17.8","20.6"
"edu_cat_highschool","34.2","35.0","35.0","37.7","39.0","40.4","38.1"
"edu_cat_some_college","27.5","25.6","24.6","22.3","21.3","20.4","17.9"
"edu_cat_college","26.0","26.0","25.7","23.0","21.0","21.3","23.4"
"N","15036","26692","23805","16417","10549","4077","218"
